project, ground truth state, ground truth transition, result, result state, result transition, recall, precision, test_case_accuracy
AssetTransfer, 11, 32, FSM-2.gv, 4, 14, 0.9954, 0.0058823529411764705, 0.9931506849315068
BasicProvenance, 4, 4, Ktail-1.gv, 4, 5, 1.0, 0.56, 1.0
BasicProvenance, 4, 4, SEKT-2.gv, 6, 9, 1.0, 0.5406162464985994, 1.0
BasicProvenance, 4, 4, FSM-1.gv, 3, 3, 1.0, 0.6666666666666666, 1.0
BasicProvenance, 4, 4, SEKT-1.gv, 4, 5, 1.0, 0.5070422535211268, 1.0
BasicProvenance, 4, 4, FSM-0.gv, 2, 3, 1.0, 0.2, 1.0
BasicProvenance, 4, 4, Ktail-2.gv, 6, 9, 1.0, 0.49825783972125437, 1.0
BasicProvenance, 4, 4, contractorplus.gv, 3, 3, 1.0, 0.4583333333333333, 1.0
DefectiveComponentCounter, 3, 2, Ktail-1.gv, 3, 2, 1.0, 1.0, 1.0
DefectiveComponentCounter, 3, 2, SEKT-2.gv, 3, 2, 1.0, 1.0, 1.0
DefectiveComponentCounter, 3, 2, FSM-1.gv, 3, 2, 1.0, 1.0, 1.0
DefectiveComponentCounter, 3, 2, SEKT-1.gv, 3, 2, 1.0, 1.0, 1.0
DefectiveComponentCounter, 3, 2, FSM-0.gv, 2, 2, 1.0, 1.0, 1.0
DefectiveComponentCounter, 3, 2, Ktail-2.gv, 3, 2, 1.0, 1.0, 1.0
DefectiveComponentCounter, 3, 2, contractorplus.gv, 3, 2, 1.0, 1.0, 1.0
